STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Rạch Giá,55,77,40,40,3,3,0,0,0,0,13,13,3,3,0,0,0,0,16,16,1,1,0,0,0,0,16,16,6,6,0,0,0,0,27,27,3,3,0,0,0,0,21,21,2,2,0,0,0,0,20,20,7,7,0,0,0,0,32,32,15,15,0,0,0,0,39,33,19,16,0,0,0,0,41,41,10,10,0,0,0,0,61,61,27,27,0,0,0,0,52,52,13,13,0,0,0,0,378,372,109,106,0,0,0,0,,,,,,,,,,,,,,,,
2,Hà Tiên,56,72,9,5,4,3,0,0,0,0,4,3,4,3,0,0,0,0,3,1,1,0,0,0,0,0,3,3,4,4,0,0,0,0,7,7,5,5,0,0,0,0,17,15,7,7,0,0,0,0,4,1,8,6,0,0,0,0,1,0,5,5,0,0,0,0,4,2,2,1,0,0,0,0,3,2,3,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,46,43,37,0,0,0,0,,,,,,,,,,,,,,,,
3,Kiên Lương,120,75,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,5,5,0,0,0,0,24,19,6,4,0,0,0,0,12,12,7,5,0,0,0,0,4,3,9,6,0,0,0,0,9,7,10,9,0,0,0,0,13,11,10,9,0,0,0,0,5,4,3,2,0,0,0,0,2,2,2,1,0,0,0,0,75,63,52,41,0,0,0,0,,,,,,,,,,,,,,,,
4,Hòn Đất,57,73,9,8,2,2,0,0,0,0,5,3,0,0,0,0,0,0,5,4,2,2,0,0,0,0,7,6,0,0,0,0,0,0,19,15,3,3,0,0,0,0,11,5,7,5,0,0,0,0,11,6,7,6,0,0,0,0,15,13,6,6,0,0,0,0,19,11,1,1,0,0,0,0,60,42,6,2,0,0,0,0,40,24,6,4,0,0,0,0,16,13,1,1,0,0,0,0,217,150,41,32,0,0,0,0,,,,,,,,,,,,,,,,
5,Châu Thành,59,68,16,16,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,1,1,0,0,0,0,5,5,2,2,0,0,0,0,11,11,2,2,0,0,0,0,11,11,6,6,0,0,0,0,7,7,2,2,0,0,0,0,8,7,5,5,0,0,0,0,9,9,3,3,0,0,0,0,16,15,3,3,0,0,0,0,19,19,10,1,0,0,0,0,112,110,34,25,0,0,0,0,,,,,,,,,,,,,,,,
6,Tân Hiệp,58,78,23,19,4,3,0,0,0,0,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,5,1,1,0,0,0,0,4,4,1,1,0,0,0,0,4,3,0,0,0,0,0,0,6,4,0,0,0,0,0,0,5,5,1,1,0,0,0,0,15,10,2,1,0,0,0,0,7,4,4,4,0,0,0,0,16,15,7,6,0,0,0,0,31,23,10,10,0,0,0,0,123,95,30,27,0,0,0,0,,,,,,,,,,,,,,,,
7,Giồng Riềng,60,69,10,8,8,8,0,0,0,0,1,1,2,1,0,0,0,0,9,9,1,1,0,0,0,0,6,5,6,6,0,0,0,0,0,0,1,1,0,0,0,0,16,10,5,3,0,0,0,0,22,14,10,9,0,0,0,0,26,19,6,5,0,0,0,0,72,44,20,12,0,0,0,0,74,52,34,23,0,0,0,0,91,65,34,27,0,0,0,0,47,43,24,6,0,0,0,0,374,270,151,102,0,0,0,0,,,,,,,,,,,,,,,,
8,Gò Quao,61,71,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,1,1,0,0,0,0,18,16,1,1,0,0,0,0,10,9,0,0,0,0,0,0,4,2,1,1,0,0,0,0,6,6,3,3,0,0,0,0,11,10,2,2,0,0,0,0,6,6,1,1,0,0,0,0,70,63,9,9,0,0,0,0,,,,,,,,,,,,,,,,
9,An Biên,116,66,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,7,2,4,1,0,0,0,0,9,8,12,11,0,0,0,0,32,27,21,13,0,0,0,0,17,15,20,12,0,0,0,0,8,5,7,4,0,0,0,0,6,2,6,3,0,0,0,0,2,1,5,3,0,0,0,0,1,0,6,5,0,0,0,0,1,1,3,1,0,0,0,0,88,66,85,54,0,0,0,0,,,,,,,,,,,,,,,,
10,An Minh,117,67,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,1,1,0,0,0,0,5,5,0,0,0,0,0,0,2,2,1,1,0,0,0,0,5,5,7,6,0,0,0,0,5,5,14,14,0,0,0,0,4,4,4,4,0,0,0,0,3,3,7,7,0,0,0,0,1,1,4,4,0,0,0,0,3,3,7,7,0,0,0,0,37,37,49,48,0,0,0,0,,,,,,,,,,,,,,,,
11,Vĩnh Thuận,118,80,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,11,1,1,0,0,0,0,13,9,1,0,0,0,0,0,25,19,1,1,0,0,0,0,9,7,1,1,0,0,0,0,20,15,3,2,0,0,0,0,9,8,0,0,0,0,0,0,23,13,2,1,0,0,0,0,22,15,1,1,0,0,0,0,146,104,10,7,0,0,0,0,,,,,,,,,,,,,,,,
12,Phú Quốc,62,76,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,3,0,0,0,0,4,4,0,0,0,0,0,0,7,1,3,3,0,0,0,0,4,3,4,3,0,0,0,0,10,9,4,4,0,0,0,0,4,4,5,4,0,0,0,0,5,4,1,1,0,0,0,0,8,5,3,3,0,0,0,0,4,3,6,6,0,0,0,0,48,34,31,29,0,0,0,0,,,,,,,,,,,,,,,,
13,Kiên Hải,63,74,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,5,0,0,0,0,0,0,7,7,3,3,0,0,0,0,10,10,1,1,0,0,0,0,22,22,2,2,0,0,0,0,35,35,8,8,0,0,0,0,6,5,1,1,0,0,0,0,3,3,1,1,0,0,0,0,7,6,3,3,0,0,0,0,19,19,1,1,0,0,0,0,5,5,3,3,0,0,0,0,128,123,23,23,0,0,0,0,,,,,,,,,,,,,,,,
14,Tổng cộng,,,122,109,23,21,0,0,0,0,41,34,10,8,0,0,0,0,53,45,9,8,0,0,0,0,67,56,29,26,0,0,0,0,109,102,34,33,0,0,0,0,185,150,58,43,0,0,0,0,190,161,86,70,0,0,0,0,138,119,71,64,0,0,0,0,207,144,79,60,0,0,0,0,239,189,89,71,0,0,0,0,299,239,98,85,0,0,0,0,208,185,81,51,0,0,0,0,1858,1533,667,540,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,1533,667,540,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Rạch Giá,55,77,12,0,44,43,17,17,0,0,0,0,0,0,2,2,19,19,1,1,0,0,0,0,0,0,14,14,26,26,5,5,0,0,0,0,0,0,13,13,28,28,12,12,0,0,0,0,0,0,14,13,71,61,12,11,0,0,0,0,0,0,16,16,93,93,41,41,0,0,0,0,0,0,15,14,135,112,31,31,0,0,0,0,0,0,27,27,64,64,18,18,0,0,0,0,0,0,14,14,44,44,12,12,0,0,0,0,0,0,25,25,45,44,16,16,0,0,0,0,0,0
2,Hà Tiên,56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,5,9,4,3,3,0,0,0,0,0,0,0,0,19,17,8,7,0,0,0,0,0,0,3,3,11,8,3,3,0,0,0,0,0,0,3,3,8,8,1,1,0,0,0,0,0,0
3,Kiên Lương,120,75,0,0,1,1,2,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,2,2,5,5,2,2,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,4,1,50,42,18,17,0,0,0,0,0,0,1,1,30,22,10,9,0,0,0,0,0,0,0,0,18,13,13,11,0,0,0,0,0,0,0,0,14,12,7,4,0,0,0,0,0,0,2,2,9,7,2,1,0,0,0,0,0,0
4,Hòn Đất,57,73,4,0,17,14,4,4,0,0,0,0,0,0,0,0,16,10,2,2,0,0,0,0,0,0,4,4,19,19,5,5,0,0,0,0,0,0,6,4,23,20,3,3,0,0,0,0,0,0,15,12,32,31,10,10,0,0,0,0,0,0,4,4,33,33,8,8,0,0,0,0,0,0,8,8,109,92,67,43,0,0,0,0,0,0,46,32,108,81,26,25,0,0,0,0,0,0,5,5,101,76,19,19,0,0,0,0,1,1,21,5,106,52,21,11,0,0,0,0,1,1
5,Châu Thành,59,68,1,0,7,7,3,2,0,0,0,0,0,0,1,1,4,4,4,4,0,0,0,0,0,0,3,3,14,14,5,4,0,0,0,0,0,0,3,3,4,4,7,7,0,0,0,0,1,1,3,3,38,31,13,11,0,0,0,0,0,0,6,5,39,36,11,10,0,0,0,0,0,0,9,9,41,36,13,11,0,0,0,0,0,0,14,14,30,28,17,15,0,0,0,0,0,0,5,5,15,10,5,4,0,0,0,0,0,0,0,0,18,15,7,7,0,0,0,0,0,0
6,Tân Hiệp,58,78,1,0,22,17,2,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,1,1,5,5,1,1,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,21,19,9,6,0,0,0,0,0,0,1,1,15,9,10,6,0,0,0,0,0,0,0,0,18,15,8,7,0,0,0,0,0,0,0,0,22,20,8,7,0,0,0,0,0,0
7,Giồng Riềng,60,69,1,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,1,0,0,0,0,0,0,1,1,4,2,1,1,0,0,0,0,0,0,1,1,4,4,3,3,0,0,0,0,0,0,0,0,13,13,4,3,0,0,0,0,0,0,3,3,19,10,8,6,0,0,0,0,0,0,0,0,18,13,5,3,0,0,0,0,0,0,0,0,8,5,7,5,0,0,0,0,0,0,0,0,7,7,1,1,0,0,0,0,0,0
8,Gò Quao,61,71,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,5,4,7,6,3,3,0,0,0,0,0,0,0,0,9,9,1,1,0,0,0,0,0,0,6,6,10,9,0,0,0,0,0,0,0,0,3,3,8,8,0,0,0,0,0,0,0,0,3,3,10,9,2,2,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0
9,An Biên,116,66,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,0,0,0,1,1,7,5,5,2,0,0,0,0,0,0,0,0,23,19,17,15,0,0,0,0,0,0,0,0,19,19,14,14,0,0,0,0,0,0,5,5,181,127,28,22,0,0,0,0,0,0,12,12,34,29,11,10,0,0,0,0,1,1,4,4,29,24,14,12,0,0,0,0,0,0,0,0,23,20,6,6,0,0,0,0,0,0
10,An Minh,117,67,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,6,4,4,0,0,0,0,0,0,0,0,7,6,2,2,0,0,0,0,0,0,1,1,5,5,5,5,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,8,7,2,2,0,0,0,0,0,0
11,Vĩnh Thuận,118,80,2,0,14,7,5,5,0,0,0,0,0,0,0,0,12,8,3,2,0,0,0,0,0,0,2,2,29,24,4,4,0,0,0,0,0,0,2,1,11,8,0,0,0,0,0,0,0,0,3,2,25,24,6,5,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,96,72,10,10,0,0,0,0,0,0,0,0,69,52,10,8,0,0,0,0,0,0,1,1,30,19,1,1,0,0,0,0,0,0,0,0,14,9,3,2,0,0,0,0,0,0
12,Phú Quốc,62,76,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,12,8,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,0,0
13,Kiên Hải,63,74,0,0,2,2,2,2,0,0,0,0,0,0,0,0,11,9,1,1,0,0,0,0,0,0,0,0,11,11,4,4,0,0,0,0,0,0,1,1,9,9,4,4,0,0,0,0,0,0,0,0,35,33,2,1,0,0,0,0,0,0,6,6,16,16,4,4,0,0,0,0,0,0,0,0,39,39,4,4,0,0,0,0,0,0,1,1,28,28,5,5,0,0,0,0,0,0,0,0,18,17,7,7,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0
14,Tổng cộng,,,22,0,116,100,46,45,0,0,0,0,0,0,5,5,67,54,18,17,0,0,0,0,0,0,28,28,124,119,29,28,0,0,0,0,0,0,30,30,96,86,35,32,0,0,0,0,1,1,43,37,244,218,77,69,0,0,0,0,0,0,37,33,285,274,108,105,0,0,0,0,0,0,55,51,723,570,197,155,0,0,0,0,0,0,105,91,420,349,132,115,0,0,0,0,1,1,35,35,316,257,85,76,0,0,0,0,1,1,54,37,275,203,69,56,0,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Rạch Giá,55,77,18,18,12,12,11,10,0,0,0,0,0,0,9,5,13,11,4,4,0,0,0,0,0,0,6,6,26,25,4,4,0,0,0,0,0,0,11,11,46,22,22,19,0,0,0,0,0,0,11,11,109,109,27,27,0,0,0,0,0,0,13,13,132,123,30,30,0,0,0,0,0,0,14,14,74,65,21,21,0,0,0,0,0,0,6,6,69,64,27,27,0,0,0,0,0,0,6,6,57,57,23,23,0,0,0,0,0,0,5,5,31,31,16,16,0,0,0,0,0,0
2,Hà Tiên,56,72,3,3,9,7,2,1,0,0,0,0,0,0,2,2,1,0,3,3,0,0,0,0,0,0,4,4,6,6,5,5,0,0,0,0,1,1,2,2,20,20,5,5,0,0,0,0,0,0,0,0,41,41,8,8,0,0,0,0,0,0,5,5,56,49,9,9,0,0,0,0,0,0,0,0,64,49,6,5,0,0,0,0,0,0,0,0,53,37,5,4,0,0,0,0,0,0,0,0,28,21,7,6,0,0,0,0,0,0,0,0,17,13,1,1,0,0,0,0,0,0
3,Kiên Lương,120,75,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,2,1,5,5,13,11,0,0,0,0,0,0,0,0,53,47,23,21,0,0,0,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,0,0,61,56,10,10,0,0,0,0,0,0,0,0,49,34,7,5,0,0,0,0,0,0,0,0,38,34,7,7,0,0,0,0,1,1
4,Hòn Đất,57,73,1,1,15,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,6,4,5,5,0,0,0,0,0,0,0,0,0,0,22,17,3,2,0,0,0,0,0,0,20,14,56,46,7,7,0,0,0,0,0,0,0,0,17,13,10,10,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,8,8,1,0,0,0,0,0,0,0,0,0,9,9,4,4,0,0,0,0,0,0
5,Châu Thành,59,68,0,0,7,7,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,7,7,2,1,0,0,0,0,0,0,3,3,11,11,4,4,0,0,0,0,0,0,0,0,18,18,9,9,0,0,0,0,0,0,0,0,28,25,15,15,0,0,0,0,0,0,2,2,18,17,15,14,0,0,0,0,0,0,0,0,16,15,8,8,0,0,0,0,0,0,0,0,35,32,22,22,0,0,0,0,0,0,0,0,28,27,18,18,0,0,0,0,1,1
