stt,district,district_code,updated_district_code,province,total_DHF_cases,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
6,Chợ Gạo,38,110,Tien Giang,504,2006,39,23,16,19,30,40,64,105,91,77,,
7,Gò Công Tây,40,114,Tien Giang,399,2006,7,3,2,6,6,31,118,118,75,33,,
8,Gò Công,35,112,Tien Giang,142,2006,0,0,2,2,4,16,24,51,23,20,,
9,Gò Công Đông,41,113,Tien Giang,213,2006,3,0,3,2,5,27,56,36,57,24,,
1,Cái Bè,39,107,Tien Giang,1174,2007,28,9,37,50,81,140,331,206,201,91,,
2,Cai Lậy,122,108 & 109,Tien Giang,1654,2007,21,21,48,80,165,413,397,177,148,184,,
3,Tân Phước,36,117,Tien Giang,383,2007,1,2,3,11,19,61,69,91,101,25,,
4,Châu Thành,37,111,Tien Giang,2850,2007,80,47,83,124,213,594,653,579,280,197,,
5,Mỹ Tho,34,115,Tien Giang,1309,2007,66,47,57,52,62,136,285,312,178,114,,
6,Chợ Gạo,38,110,Tien Giang,976,2007,25,10,14,20,26,78,163,257,204,179,,
7,Gò Công Tây,40,114,Tien Giang,571,2007,15,1,0,1,13,128,137,106,78,92,,
8,Gò Công,35,112,Tien Giang,197,2007,5,2,4,1,12,34,59,33,19,28,,
9,Gò Công Đông,41,113,Tien Giang,1566,2007,23,13,19,37,70,349,435,193,244,183,,
1,Cái Bè,39,107,Tien Giang,544,2008,6,11,3,3,50,84,122,116,66,83,,
2,Cai Lậy,122,108 & 109,Tien Giang,967,2008,49,45,45,61,78,184,138,130,100,137,,
3,Tân Phước,36,117,Tien Giang,144,2008,1,2,0,2,8,21,45,29,21,15,,
4,Châu Thành,37,111,Tien Giang,327,2008,33,16,14,15,9,33,39,44,63,61,,
5,Mỹ Tho,34,115,Tien Giang,512,2008,41,25,17,14,32,44,104,94,77,64,,
6,Chợ Gạo,38,110,Tien Giang,621,2008,46,23,23,16,28,52,74,126,118,115,,
7,Gò Công Tây,40,114,Tien Giang,98,2008,7,8,1,2,4,13,16,7,16,24,,
8,Gò Công,35,112,Tien Giang,169,2008,1,3,1,4,29,38,19,20,32,22,,
9,Gò Công Đông,41,113,Tien Giang,387,2008,30,10,7,18,30,55,47,59,77,54,,
10,Tân Phú Đông,,116,Tien Giang,25,2008,N/A,N/A,0,0,0,0,1,5,12,7,,
1,Cái Bè,39,107,Tien Giang,230,2009,16,11,16,12,23,24,42,23,20,43,,
2,Cai Lậy,122,108 & 109,Tien Giang,644,2009,38,33,25,39,37,61,98,113,108,92,,
3,Tân Phước,36,117,Tien Giang,111,2009,2,3,2,1,2,11,13,24,30,23,,
4,Châu Thành,37,111,Tien Giang,469,2009,22,16,27,27,21,49,77,101,82,47,,
5,Mỹ Tho,34,115,Tien Giang,400,2009,51,23,20,27,21,31,44,65,64,54,,
6,Chợ Gạo,38,110,Tien Giang,753,2009,79,26,37,28,28,87,153,135,100,80,,
7,Gò Công Tây,40,114,Tien Giang,396,2009,24,10,3,8,12,50,55,54,91,89,,
8,Gò Công,35,112,Tien Giang,246,2009,17,7,9,9,29,42,38,42,34,19,,
9,Gò Công Đông,41,113,Tien Giang,555,2009,11,14,5,9,43,104,100,76,115,78,,
10,Tân Phú Đông,,116,Tien Giang,119,2009,2,1,0,2,12,19,43,26,11,3,,
1,Cái Bè,39,107,Tien Giang,88,2010,7,6,0,0,24,39,7,0,1,4,,
2,Cai Lậy,122,108 & 109,Tien Giang,259,2010,64,3,0,0,56,79,25,0,0,32,,
3,Tân Phước,36,117,Tien Giang,18,2010,3,1,0,0,2,10,2,0,0,0,,
4,Châu Thành,37,111,Tien Giang,146,2010,16,5,0,0,7,81,33,0,0,4,,
5,Mỹ Tho,34,115,Tien Giang,102,2010,36,0,0,0,5,50,4,0,0,7,,
6,Chợ Gạo,38,110,Tien Giang,65,2010,20,2,0,0,1,30,10,0,0,2,,
7,Gò Công Tây,40,114,Tien Giang,103,2010,26,2,0,0,4,62,8,0,0,1,,
8,Gò Công,35,112,Tien Giang,77,2010,17,0,0,0,0,49,11,0,0,0,,
9,Gò Công Đông,41,113,Tien Giang,146,2010,6,0,0,0,0,124,16,0,0,0,,
10,Tân Phú Đông,,116,Tien Giang,36,2010,1,0,0,0,0,31,4,0,0,0,,
1,Cái Bè,39,107,Tien Giang,69,2011,23,2,0,0,8,0,16,0,0,20,,
2,Cai Lậy,122,108 & 109,Tien Giang,106,2011,27,1,0,0,0,0,8,0,0,70,,
3,Tân Phước,36,117,Tien Giang,6,2011,1,0,0,0,0,0,0,0,0,5,,
4,Châu Thành,37,111,Tien Giang,63,2011,14,1,0,0,0,0,4,0,0,44,,
5,Mỹ Tho,34,115,Tien Giang,107,2011,32,2,0,0,0,0,11,0,0,62,,
6,Chợ Gạo,38,110,Tien Giang,81,2011,15,1,0,0,1,0,14,0,0,50,,
7,Gò Công Tây,40,114,Tien Giang,52,2011,11,0,0,0,2,0,1,0,0,38,,
8,Gò Công,35,112,Tien Giang,20,2011,5,2,0,0,1,0,2,0,0,10,,
9,Gò Công Đông,41,113,Tien Giang,30,2011,7,2,0,0,1,0,5,0,0,15,,
10,Tân Phú Đông,,116,Tien Giang,5,2011,3,0,0,0,0,0,2,0,0,0,,
1,Cái Bè,39,107,Tien Giang,300,2012,15,14,26,9,17,20,15,40,29,37,43,35
2,Cai Lậy,122,108 & 109,Tien Giang,1116,2012,45,41,44,33,61,107,169,177,140,121,109,69
3,Tân Phước,36,117,Tien Giang,107,2012,4,3,3,3,9,22,26,19,6,3,5,4
4,Châu Thành,37,111,Tien Giang,542,2012,27,21,17,23,45,73,89,87,62,44,27,27
5,Mỹ Tho,34,115,Tien Giang,566,2012,55,40,32,31,27,59,74,85,60,50,34,19
6,Chợ Gạo,38,110,Tien Giang,462,2012,18,19,27,28,42,73,73,74,52,30,16,10
7,Gò Công Tây,40,114,Tien Giang,288,2012,17,14,13,13,14,38,46,55,30,23,11,14
8,Gò Công Đông,41,113,Tien Giang,328,2012,6,10,15,12,37,55,48,46,34,21,27,17
9,Gò Công,35,112,Tien Giang,148,2012,2,2,1,4,11,28,27,24,16,15,7,11
10,Tân Phú Đông,,116,Tien Giang,41,2012,0,1,1,0,2,4,8,10,6,5,3,1
1,Cái Bè,39,107,Tien Giang,227,2013,34,23,30,18,18,21,11,18,12,11,17,14
2,Cai Lậy,122,108 & 109,Tien Giang,388,2013,48,18,36,28,25,40,43,54,24,32,29,11
3,Tân Phước,36,117,Tien Giang,13,2013,1,0,0,0,0,2,2,1,3,2,2,0
4,Châu Thành,37,111,Tien Giang,114,2013,9,4,11,7,5,19,13,11,10,7,9,9
5,Mỹ Tho,34,115,Tien Giang,144,2013,20,12,8,10,5,13,19,17,16,11,5,8
6,Chợ Gạo,38,110,Tien Giang,83,2013,6,7,4,4,0,6,4,16,15,5,7,9
7,Gò Công Tây,40,114,Tien Giang,96,2013,7,0,3,2,10,6,3,13,20,14,13,5
8,Gò Công Đông,41,113,Tien Giang,199,2013,12,2,7,8,13,18,36,32,25,20,16,10
9,Gò Công,35,112,Tien Giang,26,2013,7,2,1,2,1,3,1,1,3,3,2,0
10,Tân Phú Đông,,116,Tien Giang,34,2013,1,0,0,0,0,2,4,6,7,11,3,0
1,Cái Bè,39,107,Tien Giang,133,2014,8,2,16,7,16,10,9,12,12,19,15,7
2,Cai Lậy,122,108 & 109,Tien Giang,200,2014,9,9,9,17,14,8,22,24,17,16,24,31
3,Tân Phước,36,117,Tien Giang,11,2014,1,0,1,1,0,0,1,2,0,4,1,0
4,Châu Thành,37,111,Tien Giang,51,2014,5,4,4,2,1,2,2,5,5,8,8,5
5,Mỹ Tho,34,115,Tien Giang,53,2014,2,9,4,3,1,2,0,5,7,5,8,7
6,Chợ Gạo,38,110,Tien Giang,124,2014,2,5,8,12,5,2,15,21,24,12,17,1
7,Gò Công Tây,40,114,Tien Giang,51,2014,1,0,4,3,9,5,2,6,7,7,6,1
8,Gò Công Đông,41,113,Tien Giang,159,2014,4,2,10,4,12,12,10,13,33,27,14,18
9,Gò Công,35,112,Tien Giang,33,2014,1,2,0,3,3,2,1,4,5,7,2,3
10,Tân Phú Đông,,116,Tien Giang,14,2014,0,0,0,0,0,2,1,4,1,2,4,0
1,TX. Cai Lậy,123,109,Tien Giang,177,2015,8,7,10,10,9,15,12,24,24,24,19,15
2,Cái Bè,39,107,Tien Giang,203,2015,6,3,5,7,2,6,8,14,35,30,39,48
3,Cai Lậy,122,108,Tien Giang,261,2015,14,6,13,7,14,24,25,31,41,45,18,23
4,Tân Phước,36,117,Tien Giang,27,2015,2,2,2,0,0,0,2,2,3,5,5,4
5,Châu Thành,37,111,Tien Giang,136,2015,5,0,9,5,2,1,9,14,20,20,31,20
6,Mỹ Tho,34,115,Tien Giang,220,2015,12,4,5,6,5,9,11,27,33,25,30,53
7,Chợ Gạo,38,110,Tien Giang,144,2015,10,1,4,5,3,1,9,23,31,19,25,13
8,Gò Công Tây,40,114,Tien Giang,66,2015,2,2,0,2,4,2,6,6,9,17,10,6
9,Gò Công Đông,41,113,Tien Giang,636,2015,12,8,10,4,19,32,113,106,110,113,80,29
10,Gò Công,35,112,Tien Giang,147,2015,6,0,0,3,1,2,10,18,30,22,25,30
11,Tân Phú Đông,,116,Tien Giang,21,2015,1,0,0,0,0,1,3,0,9,5,2,0
1,TX. Cai Lậy,123,109,Tien Giang,193,2016,16,16,26,17,23,19,6,13,11,11,23,12
2,Cái Bè,39,107,Tien Giang,401,2016,63,60,28,26,53,17,16,28,25,26,45,14
3,Cai Lậy,122,108,Tien Giang,276,2016,16,21,27,28,24,19,19,23,25,20,34,20
4,Tân Phước,36,117,Tien Giang,23,2016,2,0,1,5,2,1,1,1,3,4,2,1
5,Châu Thành,37,111,Tien Giang,158,2016,13,8,9,12,8,8,7,12,20,15,22,24
6,Mỹ Tho,34,115,Tien Giang,317,2016,21,46,36,27,14,13,14,18,41,26,30,31
7,Chợ Gạo,38,110,Tien Giang,170,2016,3,15,11,9,8,4,8,13,27,32,19,21
8,Gò Công Tây,40,114,Tien Giang,120,2016,10,2,8,3,6,4,6,6,17,28,20,10
9,Gò Công Đông,41,113,Tien Giang,256,2016,26,13,23,25,18,23,36,22,20,24,16,10
10,Gò Công,35,112,Tien Giang,256,2016,20,11,13,9,10,13,15,33,23,40,35,34
11,Tân Phú Đông,,116,Tien Giang,39,2016,1,1,0,1,0,0,4,10,7,8,6,1
1,TX. Cai Lậy,123,109,Tien Giang,151,2017,11,1,9,2,10,13,28,15,20,20,16,6
2,Cái Bè,39,107,Tien Giang,513,2017,51,40,31,39,41,47,62,67,55,29,31,20
3,Cai Lậy,122,108,Tien Giang,354,2017,16,20,19,17,19,29,57,52,46,28,32,19
4,Tân Phước,36,117,Tien Giang,65,2017,2,1,4,3,7,5,4,13,6,11,5,4
5,Châu Thành,37,111,Tien Giang,496,2017,27,15,12,22,15,39,74,71,89,54,47,31
6,Mỹ Tho,34,115,Tien Giang,456,2017,57,30,40,25,25,40,65,70,49,17,18,20
7,Chợ Gạo,38,110,Tien Giang,257,2017,14,8,11,13,16,25,24,37,50,21,21,17
8,Gò Công Tây,40,114,Tien Giang,146,2017,8,7,2,2,21,21,25,24,15,11,6,4
9,Gò Công Đông,41,113,Tien Giang,332,2017,27,27,23,16,18,20,59,44,45,25,20,8
10,Gò Công,35,112,Tien Giang,131,2017,14,7,9,4,6,7,22,20,11,12,9,10
11,Tân Phú Đông,,116,Tien Giang,35,2017,2,2,5,3,3,4,3,6,3,2,2,0
1,TX. Cai Lậy,123,109,Tien Giang,171,2018,4,3,4,2,8,10,13,19,12,38,30,28
2,Cái Bè,39,107,Tien Giang,513,2018,19,14,13,27,24,41,37,32,35,92,101,78
3,Cai Lậy,122,108,Tien Giang,282,2018,13,7,8,6,11,17,26,25,45,46,44,34
4,Tân Phước,36,117,Tien Giang,44,2018,3,4,3,6,5,2,5,3,2,5,2,4
5,Châu Thành,37,111,Tien Giang,331,2018,15,18,20,14,13,25,33,42,44,43,33,31
6,,34,115,Tien Giang,222,2018,11,6,5,8,8,11,29,32,36,17,28,31
7,Chợ Gạo,38,110,Tien Giang,161,2018,22,8,5,6,6,6,14,15,13,23,23,20
8,Gò Công Tây,40,114,Tien Giang,176,2018,7,1,3,1,2,2,10,29,26,44,34,17
9,Gò Công Đông,41,113,Tien Giang,188,2018,6,1,2,2,5,3,12,28,32,40,43,14
10,Gò Công,35,112,Tien Giang,108,2018,1,0,5,0,0,3,8,16,22,22,16,15
11,Tân Phú Đông,,116,Tien Giang,18,2018,2,0,0,3,1,0,3,2,4,1,1,1
1,Trà Vinh,68,126,Tra Vinh,17,2001,5,3,2,0,1,4,,0,1,0,0,1
2,Cầu Ngang,73,119,Tra Vinh,21,2001,0,1,0,4,4,9,,1,2,0,0,0
3,Duyên Hải,75,122,Tra Vinh,0,2001,0,0,0,0,0,0,,0,0,0,0,0
4,Châu Thành,70,121,Tra Vinh,15,2001,4,2,1,0,0,1,,2,4,1,0,0
5,Trà Cú,74,125,Tra Vinh,14,2001,1,0,0,4,3,5,,0,0,1,0,0
6,Tiểu Cần,72,124,Tra Vinh,4,2001,0,0,0,0,0,0,,1,0,3,0,0
7,Cầu Kè,71,118,Tra Vinh,17,2001,0,2,0,1,2,11,,0,0,0,1,0
8,Càng Long,69,120,Tra Vinh,43,2001,8,17,11,0,1,1,,1,1,0,3,0
1,Trà Vinh,68,126,Tra Vinh,5,2002,0,0,0,0,0,1,1,0,0,3,0,0
2,Càng Long,69,120,Tra Vinh,27,2002,0,1,0,0,0,0,2,5,2,6,6,5
3,Cầu Kè,71,118,Tra Vinh,2,2002,0,0,0,0,0,0,0,0,0,0,0,2
4,Tiêu Cần,72,124,Tra Vinh,4,2002,0,0,0,0,0,0,0,0,1,2,0,1
5,Châu Thành,70,121,Tra Vinh,8,2002,1,0,0,0,0,2,0,0,0,5,0,0
6,Trà Cú,74,125,Tra Vinh,3,2002,0,0,0,0,0,1,0,0,0,2,0,0
7,Cầu Ngang,73,119,Tra Vinh,1,2002,0,0,0,0,0,0,1,0,0,0,0,0
8,Duyên Hải,75,122 & 123,Tra Vinh,0,2002,0,0,0,0,0,0,0,0,0,0,0,0
1,Trà Vinh,68,126,Tra Vinh,18,2003,0,1,0,0,0,0,0,3,2,2,4,6
2,Càng Long,69,120,Tra Vinh,96,2003,6,1,1,0,3,5,13,16,15,13,14,9
3,Cầu Kè,71,118,Tra Vinh,15,2003,0,0,1,1,0,0,1,2,2,4,3,1
4,Tiêu Cần,72,124,Tra Vinh,25,2003,0,0,2,0,0,1,2,5,7,0,5,3
5,Châu Thành,70,121,Tra Vinh,36,2003,1,0,0,0,0,0,2,3,3,11,10,6
6,Trà Cú,74,125,Tra Vinh,24,2003,0,0,0,0,0,1,7,3,6,2,3,2
7,Cầu Ngang,73,119,Tra Vinh,3,2003,0,0,0,0,0,0,0,0,0,1,0,2
8,Duyên Hải,75,122 & 123,Tra Vinh,1,2003,0,0,0,0,0,0,0,0,0,0,1,0
1,Trà Vinh,68,126,Tra Vinh,164,2004,1,0,0,2,8,17,33,30,21,26,18,8
2,Càng Long,69,120,Tra Vinh,271,2004,0,1,2,1,6,12,23,30,41,76,52,27
3,Cầu Kè,71,118,Tra Vinh,119,2004,1,0,0,1,5,5,14,41,25,13,8,6
4,Tiêu Cần,72,124,Tra Vinh,162,2004,0,1,2,2,8,12,32,19,31,31,18,6
5,Châu Thành,70,121,Tra Vinh,366,2004,0,1,2,7,10,22,54,54,54,84,64,14
6,Trà Cú,74,125,Tra Vinh,327,2004,0,1,2,4,10,41,82,88,35,37,24,3
7,Cầu Ngang,73,119,Tra Vinh,152,2004,1,1,2,2,9,21,32,30,8,30,15,1
8,Duyên Hải,75,122 & 123,Tra Vinh,44,2004,1,1,0,1,1,1,4,10,6,10,4,5
1,Trà Vinh,68,126,Tra Vinh,224,2005,2,2,2,3,5,15,45,57,30,23,25,15
2,Càng Long,69,120,Tra Vinh,278,2005,11,0,2,5,3,18,39,56,56,43,17,28
3,Cầu Kè,71,118,Tra Vinh,55,2005,4,1,1,0,0,2,4,4,14,12,8,5
4,Tiêu Cần,72,124,Tra Vinh,194,2005,15,5,4,7,17,40,40,14,25,18,6,3
5,Châu Thành,70,121,Tra Vinh,311,2005,5,1,2,2,6,42,59,28,44,37,56,29
6,Trà Cú,74,125,Tra Vinh,393,2005,7,2,11,26,50,45,77,48,51,44,26,6
7,Cầu Ngang,73,119,Tra Vinh,118,2005,1,1,1,0,3,8,31,18,21,10,8,16
8,Duyên Hải,75,122 & 123,Tra Vinh,84,2005,0,0,0,0,1,4,7,10,11,14,20,17
1,Trà Vinh,68,126,Tra Vinh,71,2006,8,3,1,3,9,11,8,11,13,4,,
2,Càng Long,69,120,Tra Vinh,100,2006,3,3,4,7,17,13,20,17,9,7,,
3,Cầu Kè,71,118,Tra Vinh,66,2006,4,1,5,2,6,30,11,6,0,1,,
4,Tiêu Cần,72,124,Tra Vinh,21,2006,3,3,0,1,0,3,5,2,3,1,,
5,Châu Thành,70,121,Tra Vinh,109,2006,16,3,2,6,12,17,19,18,14,2,,
6,Trà Cú,74,125,Tra Vinh,82,2006,3,0,3,7,18,17,22,4,8,0,,
7,Cầu Ngang,73,119,Tra Vinh,236,2006,7,3,6,12,82,71,33,11,9,2,,
8,Duyên Hải,75,122 & 123,Tra Vinh,125,2006,4,0,6,2,4,7,32,27,28,15,,
1,Trà Vinh,68,126,Tra Vinh,38,2007,3,0,2,0,1,5,10,7,4,6,,
2,Càng Long,69,120,Tra Vinh,146,2007,4,0,3,0,4,15,48,23,22,27,,
3,Cầu Kè,71,118,Tra Vinh,138,2007,2,0,4,1,9,5,31,41,36,9,,
4,Tiêu Cần,72,124,Tra Vinh,116,2007,1,1,0,2,1,2,31,41,10,27,,
5,Châu Thành,70,121,Tra Vinh,82,2007,2,0,2,4,4,8,21,17,14,10,,
6,Trà Cú,74,125,Tra Vinh,89,2007,3,0,1,2,8,16,31,10,13,5,,
7,Cầu Ngang,73,119,Tra Vinh,35,2007,0,2,0,0,4,5,4,12,3,5,,
8,Duyên Hải,75,122 & 123,Tra Vinh,28,2007,0,0,3,3,0,3,9,3,2,5,,
1,Trà Vinh,68,126,Tra Vinh,59,2008,6,1,3,0,1,3,6,12,14,13,,
2,Càng Long,69,120,Tra Vinh,83,2008,8,1,0,2,6,5,13,28,9,11,,
3,Cầu Kè,71,118,Tra Vinh,104,2008,1,2,1,3,5,16,22,19,24,11,,
4,Tiêu Cần,72,124,Tra Vinh,50,2008,2,1,0,0,5,9,10,13,4,6,,
5,Châu Thành,70,121,Tra Vinh,97,2008,8,0,0,1,3,11,7,21,27,19,,
6,Trà Cú,74,125,Tra Vinh,44,2008,5,0,0,1,7,4,11,4,4,8,,
7,Cầu Ngang,73,119,Tra Vinh,31,2008,0,0,0,1,1,8,5,6,7,3,,
8,Duyên Hải,75,122 & 123,Tra Vinh,11,2008,0,1,0,0,0,0,3,0,2,5,,
1,Trà Vinh,68,126,Tra Vinh,280,2009,7,11,3,9,10,45,56,68,45,26,,
2,Càng Long,69,120,Tra Vinh,122,2009,3,1,3,2,6,11,30,31,14,21,,
3,Cầu Kè,71,118,Tra Vinh,238,2009,9,5,5,1,1,41,48,53,47,28,,
4,Tiêu Cần,72,124,Tra Vinh,90,2009,2,1,3,8,8,0,7,14,29,18,,
5,Châu Thành,70,121,Tra Vinh,210,2009,3,2,2,6,13,18,37,53,43,33,,
6,Trà Cú,74,125,Tra Vinh,463,2009,6,8,17,19,14,118,99,91,45,46,,
7,Cầu Ngang,73,119,Tra Vinh,260,2009,1,0,5,64,95,27,17,21,17,13,,
8,Duyên Hải,75,122 & 123,Tra Vinh,90,2009,7,5,1,4,7,8,13,21,16,8,,
1,Trà Vinh,68,126,Tra Vinh,26,2010,8,0,0,0,0,14,1,0,0,3,,
2,Càng Long,69,120,Tra Vinh,52,2010,3,0,0,0,2,36,10,0,0,1,,
3,Cầu Kè,71,118,Tra Vinh,13,2010,2,1,0,0,0,8,1,0,0,1,,
4,Tiêu Cần,72,124,Tra Vinh,28,2010,4,0,0,0,4,13,6,0,0,1,,
5,Châu Thành,70,121,Tra Vinh,49,2010,4,0,0,0,4,30,5,0,0,6,,
6,Trà Cú,74,125,Tra Vinh,32,2010,12,2,0,0,1,10,6,0,0,1,,
7,Cầu Ngang,73,119,Tra Vinh,37,2010,4,1,0,0,0,24,8,0,0,0,,
8,Duyên Hải,75,122 & 123,Tra Vinh,58,2010,19,1,0,0,3,28,7,0,0,0,,
1,Trà Vinh,68,126,Tra Vinh,8,2011,1,0,0,0,3,0,1,0,0,3,,
2,Càng Long,69,120,Tra Vinh,14,2011,2,1,0,0,3,0,5,0,0,3,,
3,Cầu Kè,71,118,Tra Vinh,10,2011,3,0,0,0,5,0,0,0,0,2,,
4,Tiêu Cần,72,124,Tra Vinh,3,2011,0,0,0,0,3,0,0,0,0,0,,
5,Châu Thành,70,121,Tra Vinh,17,2011,6,0,0,0,5,0,2,0,0,4,,
6,Trà Cú,74,125,Tra Vinh,21,2011,0,0,0,0,10,0,4,0,0,7,,
7,Cầu Ngang,73,119,Tra Vinh,20,2011,4,5,0,0,9,0,2,0,0,0,,
8,Duyên Hải,75,122 & 123,Tra Vinh,18,2011,5,0,0,0,1,0,3,0,0,9,,
1,Trà Vinh,68,126,Tra Vinh,84,2012,0,3,3,0,3,7,10,11,8,13,12,14
2,Càng Long,69,120,Tra Vinh,71,2012,1,3,2,1,1,0,13,16,12,10,10,2
3,Cầu Kè,71,118,Tra Vinh,130,2012,0,1,1,2,7,20,27,25,13,13,13,8
4,Tiêu Cần,72,124,Tra Vinh,23,2012,0,2,3,0,0,3,3,4,4,1,1,2
5,Châu Thành,70,121,Tra Vinh,76,2012,2,5,5,2,5,6,12,15,10,5,2,7
6,Trà Cú,74,125,Tra Vinh,84,2012,4,2,4,3,7,14,10,20,10,5,3,2
7,Cầu Ngang,73,119,Tra Vinh,51,2012,0,0,1,1,5,14,11,5,8,4,2,0
8,Duyên Hải,75,122 & 123,Tra Vinh,82,2012,8,8,1,5,6,10,21,10,2,7,0,4
1,Trà Vinh,68,126,Tra Vinh,100,2013,16,14,12,8,13,5,14,3,6,2,5,2
2,Càng Long,69,120,Tra Vinh,85,2013,4,0,4,11,5,15,25,14,4,2,0,1
3,Cầu Kè,71,118,Tra Vinh,67,2013,11,4,1,1,1,5,6,15,13,6,4,0
4,Tiêu Cần,72,124,Tra Vinh,13,2013,3,1,0,0,0,1,1,4,1,2,0,0
5,Châu Thành,70,121,Tra Vinh,93,2013,5,6,7,3,12,7,14,9,13,9,6,2
6,Trà Cú,74,125,Tra Vinh,62,2013,3,0,2,5,7,18,9,4,4,7,2,1
7,Cầu Ngang,73,119,Tra Vinh,65,2013,2,5,2,0,6,10,15,11,9,4,1,0
8,Duyên Hải,75,122 & 123,Tra Vinh,46,2013,3,0,3,2,2,8,10,2,7,7,0,2
1,Trà Vinh,68,126,Tra Vinh,17,2014,2,1,1,2,0,0,2,4,2,0,1,2
2,Càng Long,69,120,Tra Vinh,14,2014,0,0,1,0,1,0,4,2,1,3,1,1
3,Cầu Kè,71,118,Tra Vinh,5,2014,1,1,0,0,0,0,0,0,2,0,0,1
4,Tiêu Cần,72,124,Tra Vinh,12,2014,0,2,1,0,1,1,2,3,0,1,1,0
5,Châu Thành,70,121,Tra Vinh,18,2014,2,3,0,2,2,1,2,4,2,0,0,0
6,Trà Cú,74,125,Tra Vinh,9,2014,2,0,1,0,1,0,2,0,1,1,0,1
7,Cầu Ngang,73,119,Tra Vinh,8,2014,0,1,0,0,1,0,1,2,0,2,1,0
8,Duyên Hải,75,122 & 123,Tra Vinh,8,2014,1,0,0,1,0,0,0,0,3,0,1,2
1,Trà Vinh,68,126,Tra Vinh,23,2015,2,0,0,0,2,1,1,1,1,3,5,7
2,Càng Long,69,120,Tra Vinh,37,2015,4,3,5,0,1,3,0,2,3,6,5,5
3,Cầu Kè,71,118,Tra Vinh,72,2015,1,1,2,0,1,0,10,14,9,8,13,13
4,Tiêu Cần,72,124,Tra Vinh,17,2015,1,0,0,0,0,0,1,1,4,1,2,7
5,Châu Thành,70,121,Tra Vinh,35,2015,3,1,1,2,0,1,0,1,2,2,7,15
6,Trà Cú,74,125,Tra Vinh,22,2015,1,0,0,0,1,2,1,3,8,0,5,1
7,Cầu Ngang,73,119,Tra Vinh,24,2015,2,1,0,0,0,1,6,2,1,4,7,0
8,Duyên Hải,75,122,Tra Vinh,52,2015,0,2,0,1,3,0,3,4,5,7,22,5
9,TX. Duyên Hải,,123,Tra Vinh,44,2015,0,0,0,0,0,0,0,0,7,8,14,15
1,Trà Vinh,68,126,Tra Vinh,134,2016,10,6,4,6,5,0,5,9,20,21,29,19
2,Càng Long,69,120,Tra Vinh,127,2016,4,9,9,11,5,11,11,10,11,17,16,13
3,Cầu Kè,71,118,Tra Vinh,76,2016,6,2,13,7,8,9,7,7,1,11,3,2
4,Tiêu Cần,72,124,Tra Vinh,114,2016,7,1,4,4,1,7,17,15,19,13,13,13
5,Châu Thành,70,121,Tra Vinh,182,2016,21,11,4,6,2,6,12,5,21,40,27,27
6,Trà Cú,74,125,Tra Vinh,54,2016,2,4,1,0,1,2,3,5,12,14,8,2
7,Cầu Ngang,73,119,Tra Vinh,127,2016,3,4,3,13,9,13,24,22,20,6,7,3
8,Duyên Hải,75,122,Tra Vinh,162,2016,15,5,6,7,4,5,8,29,29,19,24,11
9,TX. Duyên Hải,,123,Tra Vinh,154,2016,16,11,12,19,10,10,23,16,8,9,14,6
1,Trà Vinh,68,126,Tra Vinh,112,2017,7,7,10,5,6,11,18,18,12,9,7,2
2,Càng Long,69,120,Tra Vinh,128,2017,10,5,5,16,7,13,31,11,10,6,8,6
3,Cầu Kè,71,118,Tra Vinh,61,2017,2,2,9,6,4,7,8,5,3,6,3,6
4,Tiêu Cần,72,124,Tra Vinh,97,2017,4,8,11,14,6,7,8,15,7,5,4,8
5,Châu Thành,70,121,Tra Vinh,320,2017,20,16,10,20,32,67,48,43,26,18,12,8
6,Trà Cú,74,125,Tra Vinh,424,2017,20,22,26,50,34,47,55,74,46,19,18,13
7,Cầu Ngang,73,119,Tra Vinh,81,2017,4,5,3,13,12,9,14,7,8,2,1,3
8,Duyên Hải,75,122,Tra Vinh,166,2017,10,4,10,14,16,19,22,36,12,11,10,2
9,TX. Duyên Hải,,123,Tra Vinh,34,2017,8,0,3,5,4,0,4,4,3,1,1,1
1,Trà Vinh,68,126,Tra Vinh,176,2018,5,6,9,9,16,16,13,17,20,34,26,5
2,Càng Long,69,120,Tra Vinh,179,2018,6,5,2,9,7,9,17,29,26,26,22,21
3,Cầu Kè,71,118,Tra Vinh,52,2018,5,1,2,1,1,4,1,7,10,10,5,5
4,Tiêu Cần,72,124,Tra Vinh,92,2018,5,7,6,6,0,7,14,10,9,15,9,4
5,Châu Thành,70,121,Tra Vinh,296,2018,13,5,4,12,7,5,16,26,47,66,57,38
6,Trà Cú,74,125,Tra Vinh,180,2018,11,7,10,6,5,16,14,25,21,19,31,15
7,Cầu Ngang,73,119,Tra Vinh,63,2018,2,1,1,2,2,2,2,6,6,17,10,12
8,Duyên Hải,75,122,Tra Vinh,90,2018,1,2,1,3,10,16,6,10,11,9,9,12
9,TX. Duyên Hải,,123,Tra Vinh,16,2018,1,0,0,1,0,2,2,1,3,4,0,2
1,Vĩnh Long,42,133,Vinh Long,68,2001,13,2,14,1,7,8,2,3,3,2,5,8
2,Long Hồ,43,129,Vinh Long,113,2001,16,15,5,1,1,8,6,4,15,9,16,17
3,Mang Thít,44,130,Vinh Long,75,2001,12,7,8,5,0,4,1,7,10,2,11,8
