VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
cai nuoc,150.189,2009,150189,Cà Mau,District
dam doi,197.933,2009,197933,Cà Mau,District
nam can,73.573,2009,73573,Cà Mau,District
ngoc hien,84.104,2009,84104,Cà Mau,District
phu tan,121.64,2009,121640,Cà Mau,District
thoi binh,150.07,2009,150070,Cà Mau,District
tran van thoi,207.555,2009,207555,Cà Mau,District
u minh,98.112,2009,98112,Cà Mau,District
cao lanh,165.22,2009,165220,Đồng Tháp,District
cao lanh,221.944,2009,221944,Đồng Tháp,City
chau thanh,172.002,2009,172002,Đồng Tháp,District
hong ngu,150.756,2009,150756,Đồng Tháp,District
hong ngu,66.176,2009,66176,Đồng Tháp,City
lap vo,194.222,2009,194222,Đồng Tháp,District
lai vung,174.722,2009,174722,Đồng Tháp,District
sa dec,110.427,2009,110427,Đồng Tháp,City
tam nong,104.711,2009,104711,Đồng Tháp,District
tan hong,87.529,2009,87529,Đồng Tháp,District
thanh binh,167.947,2009,167947,Đồng Tháp,District
thap muoi,134.667,2009,134667,Đồng Tháp,District
chau thanh,59.475,2009,59475,Hậu Giang,District
chau thanh a,98.349,2009,98349,Hậu Giang,District
long my,104.484,2009,104484,Hậu Giang,District
long my,68.174,2009,68174,Hậu Giang,Town
nga bay,66.151,2009,66151,Hậu Giang,City
phung hiep,224.14,2009,224140,Hậu Giang,District
vi thanh,82.496,2009,82496,Hậu Giang,City
vi thuy,98.78,2009,98780,Hậu Giang,District
an bien,128.179,2009,128179,Kiên Giang,District
an minh,110.86,2009,110860,Kiên Giang,District
chau thanh,152.863,2009,152863,Kiên Giang,District
giong rieng,213.937,2009,213937,Kiên Giang,District
giang thanh,39.463,2009,39463,Kiên Giang,District
go quao,156.519,2009,156519,Kiên Giang,District
ha tien,44.294,2009,44294,Kiên Giang,City
hon dat,167.088,2009,167088,Kiên Giang,District
kien hai,19.199,2009,19199,Kiên Giang,District
kien luong,62.773,2009,62773,Kiên Giang,District
phu quoc,87.388,2009,87388,Kiên Giang,City
rach gia,220.93,2009,220930,Kiên Giang,City
tan hiep,157.084,2009,157084,Kiên Giang,District
u minh thuong,74.828,2009,74828,Kiên Giang,District
vinh thuan,112.216,2009,112216,Kiên Giang,District
ben luc,139.559,2009,139559,Long An,District
can duoc,183.583,2009,183583,Long An,District
can giuoc,174.788,2009,174788,Long An,District
chau thanh,110.783,2009,110783,Long An,District
duc hoa,216.512,2009,216512,Long An,District
duc hue,67.061,2009,67061,Long An,District
kien tuong,32.543,2009,32543,Long An,Town
moc hoa,40.572,2009,40572,Long An,District
tan an,126.495,2009,126495,Long An,City
tan hung,41.631,2009,41631,Long An,District
tan thanh,85.814,2009,85814,Long An,District
tan tru,67.993,2009,67993,Long An,District
thanh hoa,57.084,2009,57084,Long An,District
thu thua,95.125,2009,95125,Long An,District
vinh hung,47.956,2009,47956,Long An,District
chau thanh,106.031,2009,106031,Sóc Trăng,District
cu lao dung,67.252,2009,67252,Sóc Trăng,District
ke sach,176.168,2009,176168,Sóc Trăng,District
long phu,100.117,2009,100117,Sóc Trăng,District
my tu,118.467,2009,118467,Sóc Trăng,District
my xuyen,136.119,2009,136119,Sóc Trăng,District
nga nam,82.746,2009,82746,Sóc Trăng,Town
soc trang,133.928,2009,133928,Sóc Trăng,City
thanh tri,93.658,2009,93658,Sóc Trăng,District
tran de,173.47,2009,173470,Sóc Trăng,District
vinh chau,159.516,2009,159516,Sóc Trăng,Town
cai be,314.651,2009,314651,Tiền Giang,District
cai lay,176.14,2009,176140,Tiền Giang,District
cai lay,170.566,2009,170566,Tiền Giang,Town
cho gao,173.523,2009,173523,Tiền Giang,District
chau thanh,264.761,2009,264761,Tiền Giang,District
go cong,114.779,2009,114779,Tiền Giang,Town
go cong dong,151.629,2009,151629,Tiền Giang,District
go cong tay,158.032,2009,158032,Tiền Giang,District
my tho,213.278,2009,213278,Tiền Giang,City
tan phu dong,31.46,2009,31460,Tiền Giang,District
tan phuoc,57.815,2009,57815,Tiền Giang,District
cau ke,131.788,2009,131788,Trà Vinh,District
cau ngang,142.933,2009,142933,Trà Vinh,District
cang long,181.512,2009,181512,Trà Vinh,District
chau thanh,134.162,2009,134162,Trà Vinh,District
duyen hai,70.826,2009,70826,Trà Vinh,District
duyen hai,55.534,2009,55534,Trà Vinh,Town
tieu can,118.292,2009,118292,Trà Vinh,District
tra cu,153.42,2009,153420,Trà Vinh,District
tra vinh,111.913,2009,111913,Trà Vinh,City
binh minh,127.47,2009,127470,Vĩnh Long,Town
binh tan,63.251,2009,63251,Vĩnh Long,District
long ho,167.068,2009,167068,Vĩnh Long,District
mang thit,110.659,2009,110659,Vĩnh Long,District
tam binh,177.469,2009,177469,Vĩnh Long,District
tra on,161.905,2009,161905,Vĩnh Long,District
vinh long,133.293,2009,133293,Vĩnh Long,City
vung liem,191.226,2009,191226,Vĩnh Long,District
an phu,201.301,2010,201301,An Giang,District
cho moi,376.295,2010,376295,An Giang,District
chau doc,117.802,2010,117802,An Giang,City
chau phu,253.858,2010,253858,An Giang,District
chau thanh,175.889,2010,175889,An Giang,District
long xuyen,269.264,2010,269264,An Giang,City
phu tan,221.35,2010,221350,An Giang,District
tinh bien,118.551,2010,118551,An Giang,District
tan chau,174.592,2010,174592,An Giang,Town
thoai son,193.99,2010,193990,An Giang,District
tri ton,125.766,2010,125766,An Giang,District
bac lieu,51.205,2010,51205,Bạc Liêu,City
dong hai,168.399,2010,168399,Bạc Liêu,District
gia rai,167.326,2010,167326,Bạc Liêu,Town
hong dan,126.298,2010,126298,Bạc Liêu,District
hoa binh,135.013,2010,135013,Bạc Liêu,District
phuoc long,140.393,2010,140393,Bạc Liêu,District
vinh loi,105.285,2010,105285,Bạc Liêu,District
ben tre,118.301,2010,118301,Bến Tre,City
ba tri,196.858,2010,196858,Bến Tre,District
binh dai,128.535,2010,128535,Bến Tre,District
cho lach,127.594,2010,127594,Bến Tre,District
chau thanh,157.528,2010,157528,Bến Tre,District
giong trom,181.942,2010,181942,Bến Tre,District
mo cay bac,77.102,2010,77102,Bến Tre,District
mo cay nam,194.345,2010,194345,Bến Tre,District
thanh phu,128.164,2010,128164,Bến Tre,District
binh thuy,97.565,2010,97565,Cần Thơ,Urban District
co do,155.007,2010,155007,Cần Thơ,District
cai rang,115.929,2010,115929,Cần Thơ,Urban District
ninh kieu,232.479,2010,232479,Cần Thơ,Urban District
o mon,127.479,2010,127479,Cần Thơ,Urban District
phong dien,116.517,2010,116517,Cần Thơ,District
thot not,150.666,2010,150666,Cần Thơ,Urban District
thoi lai,132.085,2010,132085,Cần Thơ,District
vinh thanh,151.567,2010,151567,Cần Thơ,District
ca mau,205.045,2010,205045,Cà Mau,City
cai nuoc,145.619,2010,145619,Cà Mau,District
dam doi,192.039,2010,192039,Cà Mau,District
nam can,71.332,2010,71332,Cà Mau,District
ngoc hien,81.543,2010,81543,Cà Mau,District
phu tan,117.937,2010,117937,Cà Mau,District
thoi binh,145.502,2010,145502,Cà Mau,District
tran van thoi,201.237,2010,201237,Cà Mau,District
u minh,95.178,2010,95178,Cà Mau,District
cao lanh,164.084,2010,164084,Đồng Tháp,District
cao lanh,220.423,2010,220423,Đồng Tháp,City
chau thanh,170.813,2010,170813,Đồng Tháp,District
hong ngu,149.7,2010,149700,Đồng Tháp,District
hong ngu,65.72,2010,65720,Đồng Tháp,City
lap vo,192.891,2010,192891,Đồng Tháp,District
lai vung,173.524,2010,173524,Đồng Tháp,District
sa dec,109.672,2010,109672,Đồng Tháp,City
tam nong,103.994,2010,103994,Đồng Tháp,District
tan hong,87.123,2010,87123,Đồng Tháp,District
thanh binh,166.796,2010,166796,Đồng Tháp,District
thap muoi,133.748,2010,133748,Đồng Tháp,District
chau thanh,56.124,2010,56124,Hậu Giang,District
chau thanh a,92.837,2010,92837,Hậu Giang,District
long my,98.598,2010,98598,Hậu Giang,District
long my,64.334,2010,64334,Hậu Giang,Town
nga bay,62.431,2010,62431,Hậu Giang,City
phung hiep,211.506,2010,211506,Hậu Giang,District
vi thanh,77.852,2010,77852,Hậu Giang,City
vi thuy,93.216,2010,93216,Hậu Giang,District
an bien,128.687,2010,128687,Kiên Giang,District
an minh,111.295,2010,111295,Kiên Giang,District
chau thanh,153.472,2010,153472,Kiên Giang,District
giong rieng,214.796,2010,214796,Kiên Giang,District
giang thanh,39.675,2010,39675,Kiên Giang,District
go quao,157.177,2010,157177,Kiên Giang,District
ha tien,44.472,2010,44472,Kiên Giang,City
hon dat,167.745,2010,167745,Kiên Giang,District
kien hai,19.277,2010,19277,Kiên Giang,District
kien luong,63.094,2010,63094,Kiên Giang,District
phu quoc,87.736,2010,87736,Kiên Giang,City
rach gia,221.81,2010,221810,Kiên Giang,City
tan hiep,157.71,2010,157710,Kiên Giang,District
u minh thuong,75.129,2010,75129,Kiên Giang,District
vinh thuan,112.685,2010,112685,Kiên Giang,District
ben luc,139.974,2010,139974,Long An,District
can duoc,184.112,2010,184112,Long An,District
can giuoc,175.258,2010,175258,Long An,District
chau thanh,111.084,2010,111084,Long An,District
duc hoa,217.237,2010,217237,Long An,District
duc hue,67.243,2010,67243,Long An,District
kien tuong,32.664,2010,32664,Long An,Town
moc hoa,40.735,2010,40735,Long An,District
tan an,126.862,2010,126862,Long An,City
tan hung,41.773,2010,41773,Long An,District
tan thanh,86.06,2010,86060,Long An,District
tan tru,68.19,2010,68190,Long An,District
thanh hoa,57.249,2010,57249,Long An,District
thu thua,95.4,2010,95400,Long An,District
vinh hung,48.241,2010,48241,Long An,District
chau thanh,106.266,2010,106266,Sóc Trăng,District
cu lao dung,67.395,2010,67395,Sóc Trăng,District
ke sach,176.541,2010,176541,Sóc Trăng,District
long phu,100.32,2010,100320,Sóc Trăng,District
my tu,118.705,2010,118705,Sóc Trăng,District
my xuyen,136.493,2010,136493,Sóc Trăng,District
nga nam,82.927,2010,82927,Sóc Trăng,Town
soc trang,134.212,2010,134212,Sóc Trăng,City
thanh tri,93.866,2010,93866,Sóc Trăng,District
tran de,173.86,2010,173860,Sóc Trăng,District
vinh chau,159.96,2010,159960,Sóc Trăng,Town
cai be,301.063,2010,301063,Tiền Giang,District
cai lay,168.527,2010,168527,Tiền Giang,District
cai lay,163.207,2010,163207,Tiền Giang,Town
cho gao,166.039,2010,166039,Tiền Giang,District
chau thanh,253.481,2010,253481,Tiền Giang,District
go cong,109.819,2010,109819,Tiền Giang,Town
go cong dong,145.084,2010,145084,Tiền Giang,District
go cong tay,151.22,2010,151220,Tiền Giang,District
my tho,204.067,2010,204067,Tiền Giang,City
tan phu dong,30.104,2010,30104,Tiền Giang,District
tan phuoc,55.318,2010,55318,Tiền Giang,District
cau ke,125.367,2010,125367,Trà Vinh,District
cau ngang,135.974,2010,135974,Trà Vinh,District
cang long,172.673,2010,172673,Trà Vinh,District
chau thanh,127.629,2010,127629,Trà Vinh,District
duyen hai,67.376,2010,67376,Trà Vinh,District
duyen hai,52.832,2010,52832,Trà Vinh,Town
tieu can,112.532,2010,112532,Trà Vinh,District
tra cu,145.946,2010,145946,Trà Vinh,District
tra vinh,106.462,2010,106462,Trà Vinh,City
binh minh,120.427,2010,120427,Vĩnh Long,Town
binh tan,59.779,2010,59779,Vĩnh Long,District
long ho,157.92,2010,157920,Vĩnh Long,District
mang thit,104.558,2010,104558,Vĩnh Long,District
tam binh,167.684,2010,167684,Vĩnh Long,District
tra on,152.98,2010,152980,Vĩnh Long,District
vinh long,125.948,2010,125948,Vĩnh Long,City
vung liem,180.681,2010,180681,Vĩnh Long,District
an phu,203.095,2011,203095,An Giang,District
cho moi,380.404,2011,380404,An Giang,District
chau doc,119.09,2011,119090,An Giang,City
chau phu,256.724,2011,256724,An Giang,District
chau thanh,177.811,2011,177811,An Giang,District
long xuyen,272.208,2011,272208,An Giang,City
phu tan,222.573,2011,222573,An Giang,District
tinh bien,119.844,2011,119844,An Giang,District
tan chau,177.653,2011,177653,An Giang,Town
thoai son,196.107,2011,196107,An Giang,District
tri ton,127.126,2011,127126,An Giang,District
bac lieu,51.888,2011,51888,Bạc Liêu,City
dong hai,169.774,2011,169774,Bạc Liêu,District
gia rai,169.578,2011,169578,Bạc Liêu,Town
hong dan,127.68,2011,127680,Bạc Liêu,District
hoa binh,139.07,2011,139070,Bạc Liêu,District
phuoc long,141.927,2011,141927,Bạc Liêu,District
vinh loi,103.737,2011,103737,Bạc Liêu,District
ben tre,120.227,2011,120227,Bến Tre,City
ba tri,199.01,2011,199010,Bến Tre,District
binh dai,129.94,2011,129940,Bến Tre,District
cho lach,128.994,2011,128994,Bến Tre,District
chau thanh,158.612,2011,158612,Bến Tre,District
giong trom,183.931,2011,183931,Bến Tre,District
mo cay bac,79.403,2011,79403,Bến Tre,District
mo cay nam,195.009,2011,195009,Bến Tre,District
thanh phu,129.565,2011,129565,Bến Tre,District
binh thuy,98.63,2011,98630,Cần Thơ,Urban District
co do,158.04,2011,158040,Cần Thơ,District
cai rang,118.182,2011,118182,Cần Thơ,Urban District
ninh kieu,235.019,2011,235019,Cần Thơ,Urban District
o mon,128.889,2011,128889,Cần Thơ,Urban District
phong dien,117.789,2011,117789,Cần Thơ,District
thot not,156.297,2011,156297,Cần Thơ,Urban District
thoi lai,133.531,2011,133531,Cần Thơ,District
vinh thanh,147.883,2011,147883,Cần Thơ,District
ca mau,207.285,2011,207285,Cà Mau,City
cai nuoc,147.209,2011,147209,Cà Mau,District
dam doi,194.167,2011,194167,Cà Mau,District
nam can,72.118,2011,72118,Cà Mau,District
ngoc hien,82.431,2011,82431,Cà Mau,District
phu tan,119.227,2011,119227,Cà Mau,District
thoi binh,147.093,2011,147093,Cà Mau,District
tran van thoi,203.443,2011,203443,Cà Mau,District
u minh,96.212,2011,96212,Cà Mau,District
cao lanh,166.138,2011,166138,Đồng Tháp,District
cao lanh,222.83,2011,222830,Đồng Tháp,City
chau thanh,172.681,2011,172681,Đồng Tháp,District
hong ngu,153.689,2011,153689,Đồng Tháp,District
hong ngu,63.981,2011,63981,Đồng Tháp,City
lap vo,197.742,2011,197742,Đồng Tháp,District
lai vung,172.673,2011,172673,Đồng Tháp,District
sa dec,110.837,2011,110837,Đồng Tháp,City
tam nong,105.129,2011,105129,Đồng Tháp,District
tan hong,88.08,2011,88080,Đồng Tháp,District
thanh binh,168.395,2011,168395,Đồng Tháp,District
thap muoi,135.209,2011,135209,Đồng Tháp,District
chau thanh,55.754,2011,55754,Hậu Giang,District
chau thanh a,93.851,2011,93851,Hậu Giang,District
long my,99.682,2011,99682,Hậu Giang,District
long my,65.032,2011,65032,Hậu Giang,Town
nga bay,63.717,2011,63717,Hậu Giang,City
phung hiep,213.2,2011,213200,Hậu Giang,District
vi thanh,78.704,2011,78704,Hậu Giang,City
vi thuy,94.246,2011,94246,Hậu Giang,District
an bien,130.099,2011,130099,Kiên Giang,District
an minh,112.522,2011,112522,Kiên Giang,District
chau thanh,155.148,2011,155148,Kiên Giang,District
giong rieng,217.141,2011,217141,Kiên Giang,District
giang thanh,40.101,2011,40101,Kiên Giang,District
go quao,158.896,2011,158896,Kiên Giang,District
ha tien,44.956,2011,44956,Kiên Giang,City
hon dat,169.575,2011,169575,Kiên Giang,District
kien hai,18.113,2011,18113,Kiên Giang,District
kien luong,63.79,2011,63790,Kiên Giang,District
phu quoc,88.56,2011,88560,Kiên Giang,City
rach gia,224.233,2011,224233,Kiên Giang,City
tan hiep,159.431,2011,159431,Kiên Giang,District
u minh thuong,75.932,2011,75932,Kiên Giang,District
vinh thuan,113.921,2011,113921,Kiên Giang,District
ben luc,141.505,2011,141505,Long An,District
can duoc,186.126,2011,186126,Long An,District
can giuoc,177.173,2011,177173,Long An,District
chau thanh,112.276,2011,112276,Long An,District
duc hoa,219.615,2011,219615,Long An,District
duc hue,67.965,2011,67965,Long An,District
kien tuong,33.011,2011,33011,Long An,Town
moc hoa,41.187,2011,41187,Long An,District
tan an,128.119,2011,128119,Long An,City
tan hung,42.229,2011,42229,Long An,District
tan thanh,87,2011,87000,Long An,District
tan tru,68.935,2011,68935,Long An,District
thanh hoa,57.876,2011,57876,Long An,District
thu thua,96.451,2011,96451,Long An,District
vinh hung,48.765,2011,48765,Long An,District
chau thanh,107.42,2011,107420,Sóc Trăng,District
cu lao dung,68.132,2011,68132,Sóc Trăng,District
ke sach,178.469,2011,178469,Sóc Trăng,District
long phu,101.424,2011,101424,Sóc Trăng,District
my tu,120.008,2011,120008,Sóc Trăng,District
my xuyen,138.004,2011,138004,Sóc Trăng,District
nga nam,83.832,2011,83832,Sóc Trăng,Town
soc trang,135.68,2011,135680,Sóc Trăng,City
thanh tri,94.891,2011,94891,Sóc Trăng,District
tran de,175.74,2011,175740,Sóc Trăng,District
vinh chau,161.675,2011,161675,Sóc Trăng,Town
cai be,304.353,2011,304353,Tiền Giang,District
cai lay,170.378,2011,170378,Tiền Giang,District
cai lay,164.984,2011,164984,Tiền Giang,Town
cho gao,167.861,2011,167861,Tiền Giang,District
chau thanh,255.774,2011,255774,Tiền Giang,District
go cong,111.169,2011,111169,Tiền Giang,Town
go cong dong,146.682,2011,146682,Tiền Giang,District
go cong tay,152.441,2011,152441,Tiền Giang,District
my tho,206.89,2011,206890,Tiền Giang,City
tan phu dong,30.706,2011,30706,Tiền Giang,District
tan phuoc,55.922,2011,55922,Tiền Giang,District
cau ke,126.741,2011,126741,Trà Vinh,District
cau ngang,137.46,2011,137460,Trà Vinh,District
cang long,174.547,2011,174547,Trà Vinh,District
chau thanh,129.021,2011,129021,Trà Vinh,District
duyen hai,68.108,2011,68108,Trà Vinh,District
duyen hai,53.409,2011,53409,Trà Vinh,Town
tieu can,113.768,2011,113768,Trà Vinh,District
tra cu,147.544,2011,147544,Trà Vinh,District
tra vinh,107.627,2011,107627,Trà Vinh,City
binh minh,121.755,2011,121755,Vĩnh Long,Town
binh tan,60.419,2011,60419,Vĩnh Long,District
long ho,159.642,2011,159642,Vĩnh Long,District
mang thit,105.701,2011,105701,Vĩnh Long,District
tam binh,169.517,2011,169517,Vĩnh Long,District
tra on,154.65,2011,154650,Vĩnh Long,District
vinh long,127.323,2011,127323,Vĩnh Long,City
vung liem,182.655,2011,182655,Vĩnh Long,District
an phu,191.539,2012,191539,An Giang,District
cho moi,367.793,2012,367793,An Giang,District
chau doc,120.868,2012,120868,An Giang,City
chau phu,260.483,2012,260483,An Giang,District
chau thanh,179.391,2012,179391,An Giang,District
long xuyen,292.49,2012,292490,An Giang,City
phu tan,208.485,2012,208485,An Giang,District
tinh bien,128.771,2012,128771,An Giang,District
tan chau,186.173,2012,186173,An Giang,Town
thoai son,198.566,2012,198566,An Giang,District
tri ton,140.616,2012,140616,An Giang,District
bac lieu,161.891,2012,161891,Bạc Liêu,City
dong hai,155.339,2012,155339,Bạc Liêu,District
gia rai,142.94,2012,142940,Bạc Liêu,Town
hong dan,112.894,2012,112894,Bạc Liêu,District
hoa binh,122.86,2012,122860,Bạc Liêu,District
phuoc long,125.644,2012,125644,Bạc Liêu,District
vinh loi,91.468,2012,91468,Bạc Liêu,District
ben tre,130.398,2012,130398,Bến Tre,City
ba tri,199.74,2012,199740,Bến Tre,District
binh dai,140.877,2012,140877,Bến Tre,District
cho lach,127.889,2012,127889,Bến Tre,District
chau thanh,160.93,2012,160930,Bến Tre,District
giong trom,179.858,2012,179858,Bến Tre,District
mo cay bac,76.055,2012,76055,Bến Tre,District
mo cay nam,186.596,2012,186596,Bến Tre,District
thanh phu,136.154,2012,136154,Bến Tre,District
binh thuy,125.537,2012,125537,Cần Thơ,Urban District
co do,151.021,2012,151021,Cần Thơ,District
cai rang,73.835,2012,73835,Cần Thơ,Urban District
ninh kieu,253.365,2012,253365,Cần Thơ,Urban District
o mon,120.383,2012,120383,Cần Thơ,Urban District
phong dien,107.243,2012,107243,Cần Thơ,District
thot not,122.913,2012,122913,Cần Thơ,Urban District
thoi lai,195.441,2012,195441,Cần Thơ,District
vinh thanh,100.657,2012,100657,Cần Thơ,District
ca mau,232.472,2012,232472,Cà Mau,City
cai nuoc,144.051,2012,144051,Cà Mau,District
dam doi,194.33,2012,194330,Cà Mau,District
nam can,57.591,2012,57591,Cà Mau,District
ngoc hien,92.556,2012,92556,Cà Mau,District
phu tan,112.188,2012,112188,Cà Mau,District
thoi binh,142.014,2012,142014,Cà Mau,District
tran van thoi,196.892,2012,196892,Cà Mau,District
u minh,111.896,2012,111896,Cà Mau,District
cao lanh,209.006,2012,209006,Đồng Tháp,District
cao lanh,176.375,2012,176375,Đồng Tháp,City
chau thanh,157.966,2012,157966,Đồng Tháp,District
hong ngu,170.557,2012,170557,Đồng Tháp,District
hong ngu,70.978,2012,70978,Đồng Tháp,City
lap vo,188.038,2012,188038,Đồng Tháp,District
lai vung,173.905,2012,173905,Đồng Tháp,District
sa dec,112.415,2012,112415,Đồng Tháp,City
tam nong,115.52,2012,115520,Đồng Tháp,District
tan hong,96.507,2012,96507,Đồng Tháp,District
thanh binh,161.035,2012,161035,Đồng Tháp,District
thap muoi,149.207,2012,149207,Đồng Tháp,District
chau thanh,90.356,2012,90356,Hậu Giang,District
chau thanh a,113.888,2012,113888,Hậu Giang,District
long my,101.295,2012,101295,Hậu Giang,District
long my,66.513,2012,66513,Hậu Giang,Town
nga bay,63.127,2012,63127,Hậu Giang,City
phung hiep,209.395,2012,209395,Hậu Giang,District
vi thanh,76.006,2012,76006,Hậu Giang,City
vi thuy,106.367,2012,106367,Hậu Giang,District
an bien,104.312,2012,104312,Kiên Giang,District
an minh,111.79,2012,111790,Kiên Giang,District
chau thanh,158.977,2012,158977,Kiên Giang,District
giong rieng,237.054,2012,237054,Kiên Giang,District
giang thanh,43.309,2012,43309,Kiên Giang,District
go quao,131.15,2012,131150,Kiên Giang,District
ha tien,47.419,2012,47419,Kiên Giang,City
hon dat,178.604,2012,178604,Kiên Giang,District
kien hai,17.807,2012,17807,Kiên Giang,District
kien luong,68.499,2012,68499,Kiên Giang,District
phu quoc,96.398,2012,96398,Kiên Giang,City
rach gia,241.415,2012,241415,Kiên Giang,City
tan hiep,153.089,2012,153089,Kiên Giang,District
u minh thuong,74.362,2012,74362,Kiên Giang,District
vinh thuan,128.916,2012,128916,Kiên Giang,District
ben luc,157.266,2012,157266,Long An,District
can duoc,179.01,2012,179010,Long An,District
can giuoc,180.176,2012,180176,Long An,District
chau thanh,103.771,2012,103771,Long An,District
duc hoa,231.001,2012,231001,Long An,District
duc hue,63,2012,63000,Long An,District
kien tuong,32.856,2012,32856,Long An,Town
moc hoa,41.084,2012,41084,Long An,District
tan an,139.575,2012,139575,Long An,City
tan hung,50.475,2012,50475,Long An,District
tan thanh,80.462,2012,80462,Long An,District
tan tru,65.742,2012,65742,Long An,District
thanh hoa,57.44,2012,57440,Long An,District
thu thua,93.152,2012,93152,Long An,District
vinh hung,51.56,2012,51560,Long An,District
chau thanh,105.18,2012,105180,Sóc Trăng,District
cu lao dung,46.582,2012,46582,Sóc Trăng,District
ke sach,163.244,2012,163244,Sóc Trăng,District
long phu,101.319,2012,101319,Sóc Trăng,District
my tu,116.732,2012,116732,Sóc Trăng,District
my xuyen,141.74,2012,141740,Sóc Trăng,District
nga nam,84.602,2012,84602,Sóc Trăng,Town
soc trang,150.132,2012,150132,Sóc Trăng,City
thanh tri,111.824,2012,111824,Sóc Trăng,District
tran de,177.866,2012,177866,Sóc Trăng,District
vinh chau,174.164,2012,174164,Sóc Trăng,Town
cai be,304.9,2012,304900,Tiền Giang,District
cai lay,166.008,2012,166008,Tiền Giang,District
cai lay,160.559,2012,160559,Tiền Giang,Town
cho gao,167.172,2012,167172,Tiền Giang,District
chau thanh,260.969,2012,260969,Tiền Giang,District
go cong,142.016,2012,142016,Tiền Giang,Town
go cong dong,117.34,2012,117340,Tiền Giang,District
go cong tay,133.975,2012,133975,Tiền Giang,District
my tho,229.126,2012,229126,Tiền Giang,City
tan phu dong,43.056,2012,43056,Tiền Giang,District
tan phuoc,60.136,2012,60136,Tiền Giang,District
cau ke,116.887,2012,116887,Trà Vinh,District
cau ngang,139.071,2012,139071,Trà Vinh,District
cang long,154.535,2012,154535,Trà Vinh,District
chau thanh,131.428,2012,131428,Trà Vinh,District
duyen hai,74.786,2012,74786,Trà Vinh,District
duyen hai,59.738,2012,59738,Trà Vinh,Town
tieu can,115.65,2012,115650,Trà Vinh,District
tra cu,158.481,2012,158481,Trà Vinh,District
tra vinh,119.607,2012,119607,Trà Vinh,City
binh minh,127.887,2012,127887,Vĩnh Long,Town
binh tan,63.484,2012,63484,Vĩnh Long,District
long ho,172.984,2012,172984,Vĩnh Long,District
mang thit,105.712,2012,105712,Vĩnh Long,District
tam binh,165.575,2012,165575,Vĩnh Long,District
tra on,143.661,2012,143661,Vĩnh Long,District
vinh long,144.651,2012,144651,Vĩnh Long,City
vung liem,168.442,2012,168442,Vĩnh Long,District
an phu,193.601,2013,193601,An Giang,District
cho moi,371.647,2013,371647,An Giang,District
chau doc,122.134,2013,122134,An Giang,City
chau phu,263.21,2013,263210,An Giang,District
chau thanh,181.268,2013,181268,An Giang,District
long xuyen,295.554,2013,295554,An Giang,City
phu tan,210.668,2013,210668,An Giang,District
tinh bien,130.12,2013,130120,An Giang,District
tan chau,188.124,2013,188124,An Giang,Town
thoai son,200.649,2013,200649,An Giang,District
tri ton,142.092,2013,142092,An Giang,District
bac lieu,163.588,2013,163588,Bạc Liêu,City
dong hai,156.969,2013,156969,Bạc Liêu,District
gia rai,144.436,2013,144436,Bạc Liêu,Town
hong dan,114.076,2013,114076,Bạc Liêu,District
hoa binh,124.134,2013,124134,Bạc Liêu,District
phuoc long,126.96,2013,126960,Bạc Liêu,District
vinh loi,92.44,2013,92440,Bạc Liêu,District
ben tre,131.763,2013,131763,Bến Tre,City
ba tri,201.832,2013,201832,Bến Tre,District
binh dai,142.353,2013,142353,Bến Tre,District
cho lach,129.228,2013,129228,Bến Tre,District
chau thanh,162.616,2013,162616,Bến Tre,District
giong trom,181.742,2013,181742,Bến Tre,District
mo cay bac,76.858,2013,76858,Bến Tre,District
mo cay nam,188.544,2013,188544,Bến Tre,District
thanh phu,137.582,2013,137582,Bến Tre,District
binh thuy,126.849,2013,126849,Cần Thơ,Urban District
co do,152.615,2013,152615,Cần Thơ,District
cai rang,74.611,2013,74611,Cần Thơ,Urban District
ninh kieu,256.023,2013,256023,Cần Thơ,Urban District
o mon,121.636,2013,121636,Cần Thơ,Urban District
phong dien,108.364,2013,108364,Cần Thơ,District
thot not,124.195,2013,124195,Cần Thơ,Urban District
thoi lai,197.492,2013,197492,Cần Thơ,District
vinh thanh,101.708,2013,101708,Cần Thơ,District
ca mau,234.907,2013,234907,Cà Mau,City
cai nuoc,145.565,2013,145565,Cà Mau,District
dam doi,196.373,2013,196373,Cà Mau,District
nam can,58.209,2013,58209,Cà Mau,District
ngoc hien,93.516,2013,93516,Cà Mau,District
phu tan,113.356,2013,113356,Cà Mau,District
thoi binh,143.502,2013,143502,Cà Mau,District
tran van thoi,198.957,2013,198957,Cà Mau,District
u minh,113.071,2013,113071,Cà Mau,District
cao lanh,211.194,2013,211194,Đồng Tháp,District
cao lanh,178.222,2013,178222,Đồng Tháp,City
chau thanh,159.623,2013,159623,Đồng Tháp,District
hong ngu,172.342,2013,172342,Đồng Tháp,District
hong ngu,71.722,2013,71722,Đồng Tháp,City
lap vo,190.01,2013,190010,Đồng Tháp,District
lai vung,175.725,2013,175725,Đồng Tháp,District
sa dec,113.592,2013,113592,Đồng Tháp,City
tam nong,116.73,2013,116730,Đồng Tháp,District
tan hong,97.52,2013,97520,Đồng Tháp,District
thanh binh,162.721,2013,162721,Đồng Tháp,District
thap muoi,150.769,2013,150769,Đồng Tháp,District
chau thanh,91.301,2013,91301,Hậu Giang,District
