VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
chau thanh,41.413,2002,41413,Long An,District
duc hoa,219.944,2002,219944,Long An,District
duc hue,99.158,2002,99158,Long An,District
kien tuong,46.284,2002,46284,Long An,Town
moc hoa,64.514,2002,64514,Long An,District
tan an,92.636,2002,92636,Long An,City
tan hung,72.633,2002,72633,Long An,District
tan thanh,207.172,2002,207172,Long An,District
tan tru,25.256,2002,25256,Long An,District
thanh hoa,87.287,2002,87287,Long An,District
thu thua,73.805,2002,73805,Long An,District
vinh hung,74.819,2002,74819,Long An,District
chau thanh,133.27,2002,133270,Sóc Trăng,District
cu lao dung,17.221,2002,17221,Sóc Trăng,District
ke sach,81.782,2002,81782,Sóc Trăng,District
long phu,97.99,2002,97990,Sóc Trăng,District
my tu,136.999,2002,136999,Sóc Trăng,District
my xuyen,120.863,2002,120863,Sóc Trăng,District
nga nam,93.157,2002,93157,Sóc Trăng,Town
soc trang,172.25,2002,172250,Sóc Trăng,City
thanh tri,91.617,2002,91617,Sóc Trăng,District
tran de,169.655,2002,169655,Sóc Trăng,District
vinh chau,141.007,2002,141007,Sóc Trăng,Town
cai be,358.244,2002,358244,Tiền Giang,District
cai lay,174.331,2002,174331,Tiền Giang,District
cai lay,156.727,2002,156727,Tiền Giang,Town
cho gao,63.304,2002,63304,Tiền Giang,District
chau thanh,142.033,2002,142033,Tiền Giang,District
go cong,156.289,2002,156289,Tiền Giang,Town
go cong dong,202.8,2002,202800,Tiền Giang,District
go cong tay,172.985,2002,172985,Tiền Giang,District
my tho,138.67,2002,138670,Tiền Giang,City
tan phu dong,31.185,2002,31185,Tiền Giang,District
tan phuoc,88.01,2002,88010,Tiền Giang,District
cau ke,104.099,2002,104099,Trà Vinh,District
cau ngang,222.452,2002,222452,Trà Vinh,District
cang long,103.272,2002,103272,Trà Vinh,District
chau thanh,143.573,2002,143573,Trà Vinh,District
duyen hai,81.383,2002,81383,Trà Vinh,District
duyen hai,71.714,2002,71714,Trà Vinh,Town
tieu can,81.188,2002,81188,Trà Vinh,District
tra cu,156.831,2002,156831,Trà Vinh,District
tra vinh,78.452,2002,78452,Trà Vinh,City
binh minh,130.867,2002,130867,Vĩnh Long,Town
binh tan,54.374,2002,54374,Vĩnh Long,District
long ho,133.343,2002,133343,Vĩnh Long,District
mang thit,96.289,2002,96289,Vĩnh Long,District
tam binh,188.624,2002,188624,Vĩnh Long,District
tra on,174.474,2002,174474,Vĩnh Long,District
vinh long,118.691,2002,118691,Vĩnh Long,City
vung liem,199.294,2002,199294,Vĩnh Long,District
an phu,177.172,2003,177172,An Giang,District
cho moi,289.62,2003,289620,An Giang,District
chau doc,93.984,2003,93984,An Giang,City
chau phu,258.473,2003,258473,An Giang,District
chau thanh,154.67,2003,154670,An Giang,District
long xuyen,244.863,2003,244863,An Giang,City
phu tan,167.841,2003,167841,An Giang,District
tinh bien,214.434,2003,214434,An Giang,District
tan chau,193.68,2003,193680,An Giang,Town
thoai son,162.338,2003,162338,An Giang,District
tri ton,233.934,2003,233934,An Giang,District
bac lieu,161.76,2003,161760,Bạc Liêu,City
dong hai,105.715,2003,105715,Bạc Liêu,District
gia rai,159.808,2003,159808,Bạc Liêu,Town
hong dan,99.741,2003,99741,Bạc Liêu,District
hoa binh,99.008,2003,99008,Bạc Liêu,District
phuoc long,109.035,2003,109035,Bạc Liêu,District
vinh loi,73.544,2003,73544,Bạc Liêu,District
